,fluxes
ALATA_D2,0.0
SHCHD2,0.00031638595490031754
CPPPGO,0.00031638595490031754
GTHOr,0.0
GLYCTO2,0.0
GLYCTO3,0.0
GLYCTO4,0.0
TRPS2,0.10270947950391804
G3PD5,0.0
EX_chol_e,0.0
LEUTAi,0.0
SHK3Dr,0.5289484721073797
G5SD,0.37153503094989354
ALATA_L2,0.0
APRAUR,0.0006327719098008002
DB4PS,0.0012655438196016004
RBFK,0.00031638595490048266
ACP1_FMN,0.0
RBFSb,0.0006327719098008002
EX_pi_e,-1.3685551139576744
EX_h_e,13.066641222611167
DMATT,0.0003944183653017392
GRTT,0.0003944183653017392
UPP3S,0.0006327719098006351
UPPDC1,0.00031638595490031754
EX_ade_e,0.00031922349709673296
EX_4abut_e,0.0
EX_ac_e,0.0
EX_akg_e,0.0
EX_ala__L_e,0.0
EX_asp__L_e,0.0
EX_cytd_e,0.0
EX_fum_e,0.0
EX_gua_e,0.0
HCO3E,5.5296111081690755
IMPC,-0.8012783862876086
IMPD,0.3450848566748632
ECOAH4,0.504912258430157
GLUTRS,0.005062175278405081
TMPPP,0.00031638595490031754
NDPK5,0.03833093876027748
DHORTS,-0.469322385431617
OMPDC,0.469322385431617
CS,1.708605897121969
ICDHyr,1.7086058971219582
ACALD,0.0
ACS,0.0
PPA,4.873816128732181
PPCK,0.0
ALAR,0.05913721691549334
ALATA_L,-0.9238688577352483
XYLK,0.0
GLYK,0.0
ASPTA,-3.6973143610871264
FBP,0.0
PYK,9.060643540289638
A5PISO,0.0552072209734581
EX_metsox_S__L_e,0.0
IPPMIb,-0.8704512211382972
ACHBS,0.31159261272106403
ACLS,1.3493884096952415
PSCVT,0.5289484721073797
ANS,0.0
ANPRT,0.10270947950391804
CHORM,0.4249734487838603
CHORS,0.5289484721073797
IGPS,0.10270947950391804
EX_fe3_e,-0.011077764734805736
EX_glcn_e,0.0
EX_gln__L_e,0.0
EX_glyc_e,0.0
EX_man_e,0.0
EX_mn2_e,-0.000980370828861522
EX_rib__D_e,0.0
EX_sbt__D_e,0.0
ECOAH6,0.3944978164832408
ENO,10.468766967639148
PPS,0.0
PGI,-16.315748925508927
PGK,-12.801553330514599
EDA,4.9430764803903875
RPE,16.449805769036377
TALA,8.489535313549325
TKT1,8.489535313549325
ALCD2x,0.0
ALDD2y,0.0
EX_ura_e,0.0
EX_xan_e,0.0
FMNAT,0.00031638595490048266
NADDP,0.0
NMNAT,0.0
HMPK1,0.0
